,Area,location,Price,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
0,720,Kharghar,49,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,600,Kharghar,45,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
2,650,Kharghar,67,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
3,650,Kharghar,45,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
4,665,Kharghar,50,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
5,2000,Kharghar,170,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
6,1550,Kharghar,125,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
7,1370,Sector-13 Kharghar,105,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
8,1356,Kharghar,105,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
9,1680,Kharghar,150,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,980,Kharghar,87,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
11,1000,Kharghar,90,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0
12,1060,Kharghar,110,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
13,1095,Kharghar,105,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1
14,1155,Kharghar,97,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
15,1150,Kharghar,105,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
16,1250,Sector 18 Kharghar,80,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0
17,990,Kharghar,85,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1078,Kharghar,93,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
19,1150,Kharghar,99,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1
20,1150,Kharghar,80,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
21,1060,Kharghar,90,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
22,680,Kharghar,42,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
23,2470,Kharghar,280,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1
24,2100,Kharghar,400,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0
25,2200,Kharghar,160,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
26,2235,Kharghar,170,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1
27,1025,Kharghar,95,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
28,950,Kharghar,95,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
29,895,Kharghar,75,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
30,1114,Kharghar,85,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1197,Kharghar,130,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
32,1380,Kharghar,137,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
33,1050,Kharghar,80,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
34,1240,Kharghar,105,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
35,1110,Kharghar,77,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
36,1050,Kharghar,75,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
37,1160,Kharghar,90,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1
38,555,Kharghar,60,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
39,650,Kharghar,62,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
40,600,Kharghar,50,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
41,650,Kharghar,65,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
42,700,Kharghar,52,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
43,646,Kharghar,42,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
44,560,Kharghar,55,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
45,670,Kharghar,55,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
46,740,Kharghar,60,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
47,636,Kharghar,55,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
48,680,Kharghar,42,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
49,1635,Kharghar,165,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1
50,1550,Kharghar,114,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
51,1500,Kharghar,135,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
52,1850,Kharghar,225,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
53,2100,Kharghar,400,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1
54,610,Kharghar,57,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
55,655,Kharghar,48,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
56,660,Kharghar,45,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
57,650,Kharghar,43,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
58,680,Kharghar,45,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
59,670,Kharghar,53,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
60,655,Kharghar,48,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
61,1800,Kharghar,130,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
62,1645,Kharghar,155,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
63,1395,Kharghar,130,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
64,1150,Kharghar,85,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
65,1200,Kharghar,94,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
66,615,Kharghar,45,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
67,670,Kharghar,53,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
68,765,Kharghar,60,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
69,650,Kharghar,56,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
70,1760,Kharghar,175,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
71,1415,Kharghar,120,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
72,1685,Kharghar,150,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
73,1800,Kharghar,130,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
74,1650,Kharghar,166,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
75,1395,Kharghar,130,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
76,1200,Kharghar,94,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
77,650,Kharghar,57,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
78,560,Kharghar,55,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
79,765,Kharghar,60,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
80,650,Kharghar,56,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,655,Kharghar,49,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
82,1390,Kharghar,135,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
83,1590,Kharghar,220,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,1760,Kharghar,175,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
85,1716,Kharghar,178,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
86,1680,Kharghar,140,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
87,1050,Kharghar,72,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
88,1100,Kharghar,70,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
89,1635,Kharghar,150,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
90,1078,Kharghar,100,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
91,1760,Kharghar,175,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
92,1415,Kharghar,110,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
93,1800,Kharghar,130,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
94,1147,Kharghar,125,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
95,1197,Kharghar,130,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
96,1300,Kharghar,150,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
97,1050,Kharghar,75,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
98,1240,Kharghar,95,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
99,650,Kharghar,55,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
100,600,Sector 20 Kharghar,50,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
101,550,Kharghar,50,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
